0x0302, 0x00
0x0303, 0x00
0x0304, 0x00
0x0305, 0x00
0x0306, 0x0B
0x0307, 0x00
0x0308, 0x00
0x0309, 0x00
0x030A, 0x00
0x030B, 0x80
0x030C, 0x00
0x030D, 0x00
0x030E, 0x00
0x030F, 0x00
0x0310, 0x00
0x0311, 0xB0
0x0312, 0x00
0x0313, 0x00
0x0314, 0x00
0x0315, 0x00
0x0316, 0x80
0x0317, 0x00
0x0318, 0x00
0x0319, 0x00
0x031A, 0x00
0x031B, 0x00
0x031C, 0x00
0x031D, 0x00
0x031E, 0x00
0x031F, 0x00
0x0320, 0x00
0x0321, 0x00
0x0322, 0x00
0x0323, 0x00
0x0324, 0x00
0x0325, 0x00
0x0326, 0x00
0x0327, 0x00
0x0328, 0x00
0x0329, 0x00
0x032A, 0x00
0x032B, 0x00
0x032C, 0x00
0x032D, 0x00
0x032E, 0x00
0x032F, 0x00
0x0330, 0x00
0x0331, 0x00
0x0332, 0x00
0x0333, 0x00
0x0334, 0x00
0x0335, 0x00
0x0336, 0x00
0x0337, 0x00
0x0338, 0x00
0x0339, 0x1F
0x033B, 0x00
0x033C, 0x00
0x033D, 0x00
0x033E, 0x00
0x033F, 0x00
0x0340, 0x00
0x0341, 0x00
0x0342, 0x00
0x0343, 0x00
0x0344, 0x00
0x0345, 0x00
0x0346, 0x00
0x0347, 0x00
0x0348, 0x00
0x0349, 0x00
0x034A, 0x00
0x034B, 0x00
0x034C, 0x00
0x034D, 0x00
0x034E, 0x00
0x034F, 0x00
0x0350, 0x00
0x0351, 0x00
0x0352, 0x00
0x0353, 0x00
0x0354, 0x00
0x0355, 0x00
0x0356, 0x00
0x0357, 0x00
0x0358, 0x00
0x0359, 0x00
0x035A, 0x00
0x035B, 0x00
0x035C, 0x00
0x035D, 0x00
0x035E, 0x00
0x035F, 0x00
0x0360, 0x00
0x0361, 0x00
0x0362, 0x00
